iteration,latency_ms,lamport_ts
1,0.7875,8
2,0.9818,11
3,1.0734,14
4,1.4567,17
5,1.3682,20
6,1.2561,23
7,1.084,26
8,1.1222,29
9,0.9539,32
10,0.9938,35
11,0.848,38
12,0.847,41
13,0.8525,44
14,0.8932,47
15,1.0149,50
16,0.9561,53
17,1.0682,56
18,1.0667,59
19,1.0969,62
20,1.1397,65
21,1.3888,68
22,1.0539,71
23,0.9346,74
24,1.0956,77
25,0.9986,80
26,0.9623,83
27,0.9456,86
28,0.8313,89
29,0.8287,92
30,0.8769,95
31,0.8265,98
32,0.8871,101
33,1.0304,104
34,0.9761,107
35,1.2084,110
36,1.7664,113
37,1.6607,116
38,1.1056,119
39,0.9439,122
40,0.951,125
41,1.0425,128
42,0.9203,131
43,0.9829,134
44,0.901,137
45,1.1462,140
46,1.4213,143
47,1.3302,146
48,1.173,149
49,1.0434,152
50,1.1576,155
51,1.4839,158
52,1.2725,161
53,1.1864,164
54,0.9994,167
55,0.9574,170
56,1.0808,173
57,0.9822,176
58,0.9833,179
59,1.2265,182
60,1.3794,185
61,1.5718,188
62,1.3174,191
63,1.1492,194
64,1.332,197
65,1.0102,200
66,1.011,203
67,0.943,206
68,1.0198,209
69,1.0724,212
70,0.9689,215
71,0.8723,218
72,1.0746,221
73,2.2865,224
74,1.3719,227
75,1.3094,230
76,1.2276,233
77,1.0604,236
78,1.1038,239
79,1.0377,242
80,0.9719,245
81,0.9734,248
82,0.9918,251
83,1.5366,254
84,1.1741,257
85,1.4423,260
86,1.2841,263
87,1.2182,266
88,1.0906,269
89,1.037,272
90,1.122,275
91,0.988,278
92,0.8618,281
93,0.9196,284
94,0.825,287
95,0.9778,290
96,1.1171,293
97,1.1559,296
98,1.4205,299
99,1.4078,302
100,1.9823,305
