iteration,latency_ms,lamport_ts
1,0.844,557
2,0.7123,560
3,0.8106,563
4,0.6829,566
5,0.659,569
6,0.6411,572
7,0.7541,575
8,0.7857,578
9,0.6059,581
10,0.6908,584
11,0.5751,587
12,0.6071,590
13,0.895,593
14,0.6803,596
15,0.5705,599
16,0.6219,602
17,0.631,605
18,0.7112,608
19,1.0783,611
20,0.7733,614
21,0.6361,617
22,0.8699,620
23,0.8511,623
24,0.74,626
25,0.653,629
26,0.677,632
27,0.6405,635
28,0.8079,638
29,0.7571,641
30,0.6469,644
31,0.6899,647
32,0.8842,650
33,0.8275,653
34,0.9081,656
35,0.6684,659
36,0.6267,662
37,0.6393,665
38,0.7618,668
39,0.6735,671
40,0.6891,674
41,0.7123,677
42,0.9047,680
43,0.7766,683
44,0.6171,686
45,0.6425,689
46,0.7514,692
47,0.6691,695
48,0.6207,698
49,0.5564,701
50,0.5474,704
51,0.6433,707
52,0.6495,710
53,0.676,713
54,0.6917,716
55,0.9577,719
56,0.6896,722
57,0.6486,725
58,0.6076,728
59,0.6925,731
60,0.6355,734
61,0.5695,737
62,0.755,740
63,0.7202,743
64,0.6765,746
65,0.6949,749
66,0.6761,752
67,0.6401,755
68,0.825,758
69,0.5885,761
70,0.5975,764
71,0.7014,767
72,0.5726,770
73,0.589,773
74,0.6746,776
75,0.5887,779
76,0.6356,782
77,0.7163,785
78,0.757,788
79,0.8093,791
80,0.7444,794
81,0.67,797
82,0.6101,800
83,0.7015,803
84,0.7713,806
85,0.6679,809
86,0.6523,812
87,0.527,815
88,0.5529,818
89,0.6418,821
90,0.6049,824
91,0.561,827
92,0.6078,830
93,0.6343,833
94,0.6171,836
95,0.6939,839
96,0.6007,842
97,0.6206,845
98,0.6804,848
99,0.5658,851
100,0.6031,854
