iteration,latency_ms,lamport_ts
1,60.0944,824
2,54.7449,827
3,54.8603,830
4,92.3952,833
5,36.3868,836
6,94.3121,839
7,70.6189,842
8,47.4065,845
9,84.0568,848
10,63.6268,851
11,37.9251,854
12,79.1727,857
13,55.0544,860
14,63.042,863
15,31.9466,866
16,69.3072,869
17,46.6241,872
18,52.4579,875
19,78.8957,878
20,54.1006,881
21,65.7187,884
22,63.8965,887
23,38.2398,890
24,78.6626,893
25,51.3052,896
26,37.0953,899
27,44.1645,902
28,49.0685,905
29,80.4976,908
30,52.9351,911
31,49.5714,914
32,65.2926,917
33,83.0435,920
34,64.0728,923
35,77.7091,926
36,51.8353,929
37,71.059,932
38,50.9187,935
39,66.0451,938
40,83.0755,941
41,66.8869,944
42,63.1558,947
43,61.1516,950
44,77.3707,953
45,80.5103,956
46,47.0125,959
47,84.899,962
48,79.7386,965
49,69.8563,968
50,64.842,971
51,68.2232,974
52,67.6535,977
53,77.8713,980
54,73.0923,983
55,63.4312,986
56,42.8641,989
57,44.1927,992
58,50.6968,995
59,75.2743,998
60,48.629,1001
61,69.7708,1004
62,77.1334,1007
63,56.3716,1010
64,120.2243,1013
65,39.9526,1016
66,69.8255,1019
67,65.0414,1022
68,73.4533,1025
69,72.334,1028
70,55.2953,1031
71,64.638,1034
72,57.3081,1037
73,41.9938,1040
74,49.5981,1043
75,49.4869,1046
76,41.4177,1049
77,57.623,1052
78,58.6598,1055
79,41.0924,1058
80,57.1404,1061
81,39.7951,1064
82,48.0025,1067
83,52.5195,1070
84,48.529,1073
85,57.7608,1076
86,70.117,1079
87,136.6131,1082
88,86.2711,1085
89,56.6008,1088
90,55.8861,1091
91,56.9716,1094
92,40.2948,1097
93,62.9017,1100
94,41.8066,1103
95,48.1218,1106
96,61.6405,1109
97,53.7261,1112
98,75.0835,1115
99,60.2671,1118
100,47.9105,1121
